detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9888888888888889, 'std': 0.0}","{'mean': 0.983611111111111, 'std': 0.001619708859679294}","{'mean': 0.9847222222222223, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8441953316953317, 'std': 0.0010970866768729342}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.5420761670761671, 'std': 0.0}","{'mean': 0.5436117936117937, 'std': 0.006685885859912834}","{'mean': 0.5503685503685504, 'std': 0.0}","{'mean': 0.8290847665847666, 'std': 0.0}","{'mean': 0.8330773955773957, 'std': 0.0014306897664437496}","{'mean': 0.8273955773955773, 'std': 0.0}","{'mean': 0.6411428571428571, 'std': 0.06263858105620444}","{'mean': 0.7062857142857142, 'std': 0.05649345275411683}","{'mean': 0.39428571428571435, 'std': 0.02025792865693301}","{'mean': 0.4137142857142857, 'std': 0.030366469155626113}",76.52,12.280000000000001,1797,synthloop_30 shots,synthloop_baseline
"{'mean': 0.9388888888888889, 'std': 0.0}","{'mean': 0.9408333333333333, 'std': 0.002078698548207738}","{'mean': 0.9375, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8435810810810811, 'std': 0.0016064738121157184}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6953316953316954, 'std': 0.0}","{'mean': 0.7298832923832924, 'std': 0.00392472015988448}","{'mean': 0.7172911547911548, 'std': 0.0}","{'mean': 0.8316953316953317, 'std': 0.0}","{'mean': 0.8353194103194103, 'std': 0.002061632241626342}","{'mean': 0.8332309582309583, 'std': 0.0}","{'mean': 0.862857142857143, 'std': 0.033709442751434594}","{'mean': 0.8474285714285715, 'std': 0.02533691345988041}","{'mean': 0.7580571428571429, 'std': 0.08388337871408016}","{'mean': 0.5571428571428572, 'std': 0.0317644391078567}",56.99999999999999,4.3999999999999995,1797,synthloop_30 shots,synthloop_temp. 0.9
"{'mean': 0.9805555555555555, 'std': 0.0}","{'mean': 0.9780555555555555, 'std': 0.0010393492741038691}","{'mean': 0.976388888888889, 'std': 1.1102230246251565e-16}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8450552825552826, 'std': 0.0009466237719546967}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.581541769041769, 'std': 0.0}","{'mean': 0.6102886977886979, 'std': 0.008688661245894307}","{'mean': 0.6111793611793612, 'std': 0.0}","{'mean': 0.8335380835380836, 'std': 0.0}","{'mean': 0.8423832923832923, 'std': 0.0023602734713563797}","{'mean': 0.8309275184275184, 'std': 0.0}","{'mean': 0.930944625407166, 'std': 0.011726384364820852}","{'mean': 0.796742671009772, 'std': 0.015770317181641968}","{'mean': 1.0213680781758958, 'std': 0.11872087920016443}","{'mean': 0.6358306188925082, 'std': 0.0399683691209849}",84.92,28.12,1797,synthloop_30 shots,synthloop_30 shots
"{'mean': 0.986111111111111, 'std': 1.1102230246251565e-16}","{'mean': 0.9944444444444445, 'std': 0.0}","{'mean': 0.9875, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8441031941031941, 'std': 0.0021485604953799292}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6271498771498771, 'std': 0.0}","{'mean': 0.6375307125307126, 'std': 0.015105320597638507}","{'mean': 0.6598587223587223, 'std': 0.0}","{'mean': 0.8321560196560197, 'std': 0.0}","{'mean': 0.8318181818181818, 'std': 0.001546033531775578}","{'mean': 0.8326167076167076, 'std': 0.0}","{'mean': 0.33885714285714286, 'std': 0.043988866866097674}","{'mean': 0.7645714285714286, 'std': 0.047590086431216025}","{'mean': 0.3056, 'std': 0.04562620085084482}","{'mean': 0.43257142857142855, 'std': 0.02268506656146195}",82.76,0.48,1797,synthloop_30 shots,synthloop_cat first
"{'mean': 0.9722222222222221, 'std': 1.1102230246251565e-16}","{'mean': 0.9791666666666666, 'std': 0.0}","{'mean': 0.9736111111111111, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8446867321867322, 'std': 0.001921927253951095}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6116400491400491, 'std': 0.0}","{'mean': 0.6155405405405405, 'std': 0.005382672209569004}","{'mean': 0.5956695331695332, 'std': 0.0}","{'mean': 0.8230958230958232, 'std': 1.1102230246251565e-16}","{'mean': 0.8279176904176906, 'std': 0.0010665697392005426}","{'mean': 0.8209459459459459, 'std': 0.0}","{'mean': 0.7771428571428571, 'std': 0.03140258666064934}","{'mean': 0.7022857142857142, 'std': 0.019072364878032728}","{'mean': 0.695657142857143, 'std': 0.035107485102241084}","{'mean': 0.49657142857142855, 'std': 0.023098723350180286}",63.75999999999999,2.0,1797,synthloop_30 shots,synthloop_num first
"{'mean': 0.9722222222222221, 'std': 1.1102230246251565e-16}","{'mean': 0.97, 'std': 0.0016666666666666607}","{'mean': 0.9680555555555556, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8448710073710075, 'std': 0.0007097186737279868}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.5942874692874693, 'std': 0.0}","{'mean': 0.5413697788697789, 'std': 0.002975472074885209}","{'mean': 0.566953316953317, 'std': 0.0}","{'mean': 0.8303132678132679, 'std': 0.0}","{'mean': 0.826443488943489, 'std': 0.0025648181322006254}","{'mean': 0.8255528255528255, 'std': 0.0}","{'mean': 0.6226027397260274, 'std': 0.026027397260273963}","{'mean': 0.8863013698630138, 'std': 0.02743148547191889}","{'mean': 0.6504109589041096, 'std': 0.0467173499892373}","{'mean': 0.7171232876712328, 'std': 0.02407999428937938}",84.88,19.919999999999998,1797,synthloop_30 shots,synthloop_fshots feedback
"{'mean': 0.9527777777777777, 'std': 0.0}","{'mean': 0.9586111111111112, 'std': 0.002389534796400721}","{'mean': 0.9527777777777777, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.844563882063882, 'std': 0.0017997647818161623}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.7189803439803439, 'std': 0.0}","{'mean': 0.733968058968059, 'std': 0.002328082758998427}","{'mean': 0.7043918918918919, 'std': 0.0}","{'mean': 0.8241707616707616, 'std': 0.0}","{'mean': 0.8210380835380835, 'std': 0.0013015737162418246}","{'mean': 0.8158783783783784, 'std': 0.0}","{'mean': 0.8331428571428571, 'std': 0.044432016402957145}","{'mean': 0.8079999999999998, 'std': 0.02330980349070989}","{'mean': 0.8222857142857143, 'std': 0.04557120465686146}","{'mean': 0.7748571428571428, 'std': 0.010125740083811053}",77.84,12.0,1797,synthloop_30 shots,synthloop_sentence
"{'mean': 0.7875, 'std': 0.0}","{'mean': 0.78, 'std': 0.005665577237325296}","{'mean': 0.7847222222222222, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.844502457002457, 'std': 0.000998039116048648}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.777487714987715, 'std': 0.0}","{'mean': 0.8033476658476658, 'std': 0.0024810706914767215}","{'mean': 0.7662776412776413, 'std': 0.0}","{'mean': 0.8277027027027029, 'std': 1.1102230246251565e-16}","{'mean': 0.8277641277641278, 'std': 0.002425317816019619}","{'mean': 0.8289312039312039, 'std': 0.0}","{'mean': 0.9394285714285713, 'std': 0.0033319725113401624}","{'mean': 0.8565714285714285, 'std': 0.023518989288293327}","{'mean': 1.2452571428571428, 'std': 0.09880156984624096}","{'mean': 0.8085714285714285, 'std': 0.032726448144631645}",0.0,3.16,1797,synthloop_30 shots,promptrefine_baseline
"{'mean': 0.9055555555555556, 'std': 0.0}","{'mean': 0.9008333333333335, 'std': 0.002256677334621092}","{'mean': 0.9041666666666666, 'std': 1.1102230246251565e-16}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8440724815724815, 'std': 0.0009741247866801976}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.6194717444717445, 'std': 0.0}","{'mean': 0.6090601965601966, 'std': 0.008971213810134555}","{'mean': 0.625, 'std': 0.0}","{'mean': 0.8323095823095823, 'std': 0.0}","{'mean': 0.8324017199017198, 'std': 0.0011433974489549385}","{'mean': 0.828470515970516, 'std': 0.0}","{'mean': 0.8382857142857143, 'std': 0.03607701512609053}","{'mean': 0.8474285714285713, 'std': 0.031015466845970084}","{'mean': 0.8062857142857143, 'std': 0.03973298634738689}","{'mean': 0.632, 'std': 0.026397278771316816}",0.0,0.08,1797,synthloop_30 shots,promptrefine_temp. 0.9
"{'mean': 0.8944444444444445, 'std': 0.0}","{'mean': 0.8961111111111111, 'std': 0.0045980403770129975}","{'mean': 0.9, 'std': 0.0}","{'mean': 0.8511977886977886, 'std': 1.1102230246251565e-16}","{'mean': 0.8453931203931205, 'std': 0.0016436226241105254}","{'mean': 0.8459766584766586, 'std': 1.1102230246251565e-16}","{'mean': 0.5866093366093366, 'std': 0.0}","{'mean': 0.5688882063882065, 'std': 0.0030552408146058783}","{'mean': 0.5823095823095823, 'std': 0.0}","{'mean': 0.8103501228501229, 'std': 0.0}","{'mean': 0.8043918918918918, 'std': 0.0007485293370364766}","{'mean': 0.8048218673218674, 'std': 1.1102230246251565e-16}","{'mean': 0.962857142857143, 'std': 0.008852533362759787}","{'mean': 0.6542857142857142, 'std': 0.04179639668093654}","{'mean': 1.2010285714285716, 'std': 0.10359002394644239}","{'mean': 0.6828571428571428, 'std': 0.019877173863915524}",0.0,7.76,1797,synthloop_30 shots,promptrefine_30 shots
