detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9032258064516128, 'std': 1.1102230246251565e-16}","{'mean': 0.9258064516129032, 'std': 0.0032258064516129}","{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.008213708208229559}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.8129870129870131, 'std': 0.010389610389610393}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9246753246753248, 'std': 0.0051948051948051965}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop_baseline
"{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9376623376623376, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.8987012987012987, 'std': 0.020779220779220786}","{'mean': 0.7662337662337663, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9428571428571428, 'std': 0.010389610389610393}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.5888888888888889, 'std': 0.014818018364385158}","{'mean': 0.807843137254902, 'std': 0.011581728854032214}","{'mean': 0.27176470588235296, 'std': 0.011962034293054489}","{'mean': 0.24183006535947715, 'std': 0.01490425392286454}",46.08,0.96,306,real,synthloop_temp. 0.9
"{'mean': 0.967741935483871, 'std': 0.0}","{'mean': 0.9661290322580646, 'std': 0.0032258064516129}","{'mean': 0.9596774193548387, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9428571428571427, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.8467532467532468, 'std': 0.03709832949892385}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.9324675324675324, 'std': 0.015145329597000785}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.6607843137254902, 'std': 0.014229765396782515}","{'mean': 0.5862745098039216, 'std': 0.05586610626498851}","{'mean': 0.4343790849673203, 'std': 0.030268142511699455}","{'mean': 0.2477124183006536, 'std': 0.022009749333964358}",51.12,0.32,306,real,synthloop_30 shots
"{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.982258064516129, 'std': 0.0032258064516129}","{'mean': 0.9758064516129032, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.013244206528812433}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.8181818181818181, 'std': 1.1102230246251565e-16}","{'mean': 0.7324675324675325, 'std': 0.046897324896799465}","{'mean': 0.8831168831168832, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9272727272727274, 'std': 0.006362311020216049}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.45816993464052286, 'std': 0.022009749333964358}","{'mean': 0.5326797385620915, 'std': 0.05753861719496407}","{'mean': 0.18444444444444447, 'std': 0.016139424140183687}","{'mean': 0.21372549019607842, 'std': 0.01878445472313714}",23.599999999999998,1.04,306,real,synthloop_cat first
"{'mean': 0.9354838709677418, 'std': 1.1102230246251565e-16}","{'mean': 0.9596774193548387, 'std': 0.005100447838981253}","{'mean': 0.9596774193548387, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545455, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9168831168831169, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9272727272727271, 'std': 0.010389610389610393}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.7993464052287582, 'std': 0.018089349677252335}","{'mean': 0.6620915032679738, 'std': 0.0469770531400429}","{'mean': 0.47424836601307196, 'std': 0.009761126641879444}","{'mean': 0.3477124183006536, 'std': 0.019889051051899278}",66.52,0.5599999999999999,306,real,synthloop_num first
"{'mean': 0.9193548387096774, 'std': 0.0}","{'mean': 0.9064516129032258, 'std': 0.0039507899077148}","{'mean': 0.9274193548387096, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.006362311020216049}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.9558441558441558, 'std': 0.006362311020216049}","{'mean': 0.961038961038961, 'std': 0.0}","{'mean': 0.8183006535947712, 'std': 0.019233907149754464}","{'mean': 0.673202614379085, 'std': 0.03364585013394444}","{'mean': 0.5048366013071895, 'std': 0.013186426366450734}","{'mean': 0.3790849673202615, 'std': 0.01882988273318685}",57.64,0.8,306,real,synthloop_fshots feedback
"{'mean': 0.9032258064516128, 'std': 1.1102230246251565e-16}","{'mean': 0.9112903225806452, 'std': 0.011404948083653983}","{'mean': 0.8709677419354838, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545453, 'std': 0.009718590614997254}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9116883116883118, 'std': 0.009718590614997254}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.909090909090909, 'std': 1.1102230246251565e-16}","{'mean': 0.9064935064935064, 'std': 0.0051948051948051965}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.8215686274509804, 'std': 0.008913844246396003}","{'mean': 0.8091503267973856, 'std': 0.017243014324539754}","{'mean': 0.7172549019607845, 'std': 0.02455151135495458}","{'mean': 0.7516339869281046, 'std': 0.014760248092334947}",71.08,16.64,306,real,synthloop_sentence
"{'mean': 0.7983870967741935, 'std': 0.0}","{'mean': 0.767741935483871, 'std': 0.006034931268990223}","{'mean': 0.7903225806451613, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9090909090909092, 'std': 0.00821370820822956}","{'mean': 0.8961038961038961, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9402597402597401, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine_baseline
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.6623376623376623, 'std': 0.0}","{'mean': 0.8935064935064936, 'std': 0.037996724255396845}","{'mean': 0.6753246753246753, 'std': 0.0}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.9584415584415584, 'std': 0.0051948051948051965}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.5764705882352941, 'std': 0.13898074624838705}","{'mean': 0.06666666666666667, 'std': 0.023529411764705882}","{'mean': 0.156078431372549, 'std': 0.03275390277305271}","{'mean': 0.1215686274509804, 'std': 0.007843137254901966}",97.92,0.24,306,real,promptrefine_temp. 0.9
"{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9548387096774194, 'std': 0.0039507899077148}","{'mean': 0.9516129032258064, 'std': 1.1102230246251565e-16}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9402597402597402, 'std': 0.010389610389610393}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.922077922077922, 'std': 0.0}","{'mean': 0.9480519480519479, 'std': 1.1102230246251565e-16}","{'mean': 0.9454545454545455, 'std': 0.0051948051948051965}","{'mean': 0.935064935064935, 'std': 0.0}","{'mean': 0.781045751633987, 'std': 0.017899429983828992}","{'mean': 0.6777777777777777, 'std': 0.027929229567609785}","{'mean': 0.6126797385620916, 'std': 0.02707365953673121}","{'mean': 0.3189542483660131, 'std': 0.02868380164378}",77.88000000000001,0.5599999999999999,306,real,promptrefine_30 shots
