detection-LGB-accuracy,detection-RF-accuracy,detection-XGB-accuracy,utility-LGB-accuracy-trtr,utility-RF-accuracy-trtr,utility-XGB-accuracy-trtr,utility-LGB-accuracy-tstr,utility-RF-accuracy-tstr,utility-XGB-accuracy-tstr,utility-LGB-accuracy-combined,utility-RF-accuracy-combined,utility-XGB-accuracy-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9172774869109948, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5392670157068062, 'std': 0.0}","{'mean': 0.5832460732984293, 'std': 0.010780764545536127}","{'mean': 0.4345549738219895, 'std': 5.551115123125783e-17}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.8952879581151831, 'std': 0.003311285508029685}","{'mean': 0.9109947643979057, 'std': 0.0}","{'mean': 0.9103448275862069, 'std': 0.08333135154203154}","{'mean': 0.993103448275862, 'std': 0.013793103448275846}","{'mean': 0.5572413793103448, 'std': 0.08280458493684763}","{'mean': 0.7586206896551724, 'std': 0.0844651635442475}",97.88,22.0,763,real,synthloop_baseline
"{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9225130890052358, 'std': 0.005129821450854828}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5340314136125655, 'std': 0.0}","{'mean': 0.5455497382198953, 'std': 0.031656997817447075}","{'mean': 0.4659685863874346, 'std': 5.551115123125783e-17}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.8910994764397906, 'std': 0.011180186651341668}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.6909090909090909, 'std': 0.033634998607300876}","{'mean': 0.5781818181818182, 'std': 0.01939393939393939}","{'mean': 0.38133333333333336, 'std': 0.04166312932643072}","{'mean': 0.38909090909090904, 'std': 0.03076018797684732}",92.88,0.84,763,real,synthloop_temp. 0.9
"{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.005339287448788271}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3036649214659686, 'std': 0.0}","{'mean': 0.5643979057591624, 'std': 0.009597017162211199}","{'mean': 0.4659685863874346, 'std': 5.551115123125783e-17}","{'mean': 0.9109947643979057, 'std': 0.0}","{'mean': 0.8952879581151831, 'std': 0.003311285508029685}","{'mean': 0.8848167539267016, 'std': 0.0}","{'mean': 0.769811320754717, 'std': 0.06334429339378202}","{'mean': 0.8842767295597487, 'std': 0.021272370472060074}","{'mean': 0.3979874213836479, 'std': 0.07093090572055011}","{'mean': 0.34716981132075475, 'std': 0.028238923673765612}",92.72,15.920000000000002,763,real,synthloop_30 shots
"{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9823529411764707, 'std': 0.003332692492544322}","{'mean': 0.9836601307189541, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9172774869109948, 'std': 0.005129821450854829}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5863874345549738, 'std': 0.0}","{'mean': 0.5811518324607331, 'std': 0.005735314738273977}","{'mean': 0.5654450261780105, 'std': 0.0}","{'mean': 0.8429319371727748, 'std': 0.0}","{'mean': 0.8785340314136126, 'std': 0.00391796585002508}","{'mean': 0.8534031413612565, 'std': 0.0}","{'mean': 0.85, 'std': 0.1195762074484515}","{'mean': 0.9142857142857143, 'std': 0.012111303541295122}","{'mean': 0.4875, 'std': 0.07459926957020532}","{'mean': 0.5625, 'std': 0.04922874554317938}",94.28,14.48,763,real,synthloop_cat first
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9204188481675393, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.28272251308900526, 'std': 0.0}","{'mean': 0.2628272251308901, 'std': 0.008376963350785348}","{'mean': 0.3403141361256545, 'std': 0.0}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.8827225130890053, 'std': 0.0071019162126966465}","{'mean': 0.869109947643979, 'std': 1.1102230246251565e-16}","{'mean': 0.7015384615384616, 'std': 0.10139850494328666}","{'mean': 0.8569230769230769, 'std': 0.02098181799536287}","{'mean': 0.33169230769230773, 'std': 0.08298342316818497}","{'mean': 0.3769230769230769, 'std': 0.05148677086363542}",94.48,1.4000000000000001,763,real,synthloop_num first
"{'mean': 0.9934640522875817, 'std': 0.0}","{'mean': 0.9823529411764704, 'std': 0.0016009736880935746}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9162303664921465, 'std': 0.00331128550802972}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.5078534031413613, 'std': 0.0}","{'mean': 0.52565445026178, 'std': 0.030456627376437662}","{'mean': 0.47120418848167545, 'std': 5.551115123125783e-17}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.8952879581151831, 'std': 0.005735314738273977}","{'mean': 0.905759162303665, 'std': 1.1102230246251565e-16}","{'mean': 0.43954372623574145, 'std': 0.034228980790652154}","{'mean': 0.9901140684410648, 'std': 0.003041825095057016}","{'mean': 0.26950570342205327, 'std': 0.02204326508747893}","{'mean': 0.314828897338403, 'std': 0.020319983598307827}",88.48,5.2,763,real,synthloop_fshots feedback
"{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.9679738562091502, 'std': 0.0043354572422946245}","{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863875, 'std': 0.005735314738273977}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.2617801047120419, 'std': 0.0}","{'mean': 0.4052356020942408, 'std': 0.016753926701570672}","{'mean': 0.2617801047120419, 'std': 0.0}","{'mean': 0.8481675392670157, 'std': 0.0}","{'mean': 0.831413612565445, 'std': 0.0069458110792783015}","{'mean': 0.8586387434554974, 'std': 0.0}","{'mean': 0.5805714285714286, 'std': 0.019072364878032728}","{'mean': 0.9782857142857143, 'std': 0.004981598792617919}","{'mean': 0.32582857142857147, 'std': 0.028702328711611335}","{'mean': 0.35657142857142854, 'std': 0.038688710582424596}",81.04,3.04,763,real,synthloop_sentence
"{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9193717277486911, 'std': 0.004188481675392669}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.4083769633507853, 'std': 0.0}","{'mean': 0.3204188481675393, 'std': 0.031483343200780965}","{'mean': 0.47120418848167545, 'std': 5.551115123125783e-17}","{'mean': 0.8952879581151831, 'std': 1.1102230246251565e-16}","{'mean': 0.8910994764397906, 'std': 0.0039179658500250675}","{'mean': 0.8795811518324609, 'std': 1.1102230246251565e-16}","{'mean': 0.7251748251748251, 'std': 0.04714967225465056}","{'mean': 0.6755244755244755, 'std': 0.02043585901566778}","{'mean': 0.4405594405594406, 'std': 0.031192260463410674}","{'mean': 0.22937062937062938, 'std': 0.015095827374071965}",86.76,2.52,763,real,promptrefine_baseline
"{'mean': 0.9901960784313726, 'std': 0.0}","{'mean': 0.9895424836601308, 'std': 0.002445527703773809}","{'mean': 0.9869281045751634, 'std': 0.0}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9183246073298429, 'std': 0.008506846497000993}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.2094240837696335, 'std': 0.0}","{'mean': 0.2094240837696335, 'std': 0.0}","{'mean': 0.2094240837696335, 'std': 0.0}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.8890052356020943, 'std': 0.0020942408376963596}","{'mean': 0.8848167539267016, 'std': 0.0}","{'mean': 0.4662857142857143, 'std': 0.04558553297183802}","{'mean': 0.34628571428571425, 'std': 0.007959079015533787}","{'mean': 0.2064, 'std': 0.05781479226012693}","{'mean': 0.12742857142857145, 'std': 0.0175754931419768}",78.64,6.5600000000000005,763,real,promptrefine_temp. 0.9
"{'mean': 0.9640522875816993, 'std': 1.1102230246251565e-16}","{'mean': 0.9555555555555555, 'std': 0.0026143790849673496}","{'mean': 0.9640522875816993, 'std': 1.1102230246251565e-16}","{'mean': 0.9214659685863873, 'std': 1.1102230246251565e-16}","{'mean': 0.9172774869109948, 'std': 0.0039179658500250675}","{'mean': 0.9267015706806283, 'std': 0.0}","{'mean': 0.3298429319371728, 'std': 0.0}","{'mean': 0.39581151832460737, 'std': 0.024911784823812188}","{'mean': 0.4293193717277487, 'std': 0.0}","{'mean': 0.900523560209424, 'std': 0.0}","{'mean': 0.8869109947643979, 'std': 0.0071019162126966335}","{'mean': 0.8900523560209426, 'std': 1.1102230246251565e-16}","{'mean': 0.6828220858895705, 'std': 0.04208606843225153}","{'mean': 0.9957055214723927, 'std': 0.004160938639954171}","{'mean': 0.42822085889570555, 'std': 0.03846386035719084}","{'mean': 0.48650306748466254, 'std': 0.025635070448805124}",84.32,11.200000000000001,763,real,promptrefine_30 shots
