detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9979475308641975, 'std': 0.0}","{'mean': 0.9984128086419753, 'std': 0.0001519611232360607}","{'mean': 0.9983256172839508, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8951361345765905, 'std': 0.0010821239467690045}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.7833031261498955, 'std': 0.0}","{'mean': 0.8156774107681107, 'std': 0.0027672183339736566}","{'mean': 0.7637044706631488, 'std': 0.0}","{'mean': 0.8805541419724573, 'std': 1.1102230246251565e-16}","{'mean': 0.884475621563362, 'std': 0.00165751585292305}","{'mean': 0.8770281872819277, 'std': 0.0}","{'mean': 0.6411428571428571, 'std': 0.06263858105620444}","{'mean': 0.7062857142857142, 'std': 0.05649345275411683}","{'mean': 0.39428571428571435, 'std': 0.02025792865693301}","{'mean': 0.4137142857142857, 'std': 0.030366469155626113}",76.52,12.280000000000001,1797,synthloop_30 shots,synthloop_baseline
"{'mean': 0.9748302469135803, 'std': 1.1102230246251565e-16}","{'mean': 0.9768680555555557, 'std': 0.0004610454115523211}","{'mean': 0.9726851851851851, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8953484982528114, 'std': 0.0011913990310624587}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.8299483672462793, 'std': 0.0}","{'mean': 0.8465722219177583, 'std': 0.0029808486283545844}","{'mean': 0.8292192845790698, 'std': 0.0}","{'mean': 0.8890368149232619, 'std': 0.0}","{'mean': 0.8875775013244185, 'std': 0.0009369023830954333}","{'mean': 0.8858791529984054, 'std': 0.0}","{'mean': 0.862857142857143, 'std': 0.033709442751434594}","{'mean': 0.8474285714285715, 'std': 0.02533691345988041}","{'mean': 0.7580571428571429, 'std': 0.08388337871408016}","{'mean': 0.5571428571428572, 'std': 0.0317644391078567}",56.99999999999999,4.3999999999999995,1797,synthloop_30 shots,synthloop_temp. 0.9
"{'mean': 0.9960956790123456, 'std': 0.0}","{'mean': 0.9969359567901235, 'std': 0.00017138316671675636}","{'mean': 0.9964660493827161, 'std': 0.0}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8944181300513847, 'std': 0.0006647161598953323}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.7604621242369914, 'std': 0.0}","{'mean': 0.8144256329155217, 'std': 0.003133610391461998}","{'mean': 0.7471254896434378, 'std': 0.0}","{'mean': 0.8834261731217395, 'std': 0.0}","{'mean': 0.8847628833963574, 'std': 0.0007764339879569616}","{'mean': 0.8774240775391648, 'std': 0.0}","{'mean': 0.930944625407166, 'std': 0.011726384364820852}","{'mean': 0.796742671009772, 'std': 0.015770317181641968}","{'mean': 1.0213680781758958, 'std': 0.11872087920016443}","{'mean': 0.6358306188925082, 'std': 0.0399683691209849}",84.92,28.12,1797,synthloop_30 shots,synthloop_30 shots
"{'mean': 0.9978703703703703, 'std': 0.0}","{'mean': 0.9968456790123458, 'std': 0.0009785112823833418}","{'mean': 0.997716049382716, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8946104773909344, 'std': 0.0004916097269429639}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.686362924629489, 'std': 0.0}","{'mean': 0.7294539089269729, 'std': 0.008976644956081694}","{'mean': 0.7146668597838652, 'std': 0.0}","{'mean': 0.8846099945979378, 'std': 0.0}","{'mean': 0.8832934702899629, 'std': 0.00015425617473087557}","{'mean': 0.8845001265700558, 'std': 0.0}","{'mean': 0.33885714285714286, 'std': 0.043988866866097674}","{'mean': 0.7645714285714286, 'std': 0.047590086431216025}","{'mean': 0.3056, 'std': 0.04562620085084482}","{'mean': 0.43257142857142855, 'std': 0.02268506656146195}",82.76,0.48,1797,synthloop_30 shots,synthloop_cat first
"{'mean': 0.9941589506172839, 'std': 1.1102230246251565e-16}","{'mean': 0.9923927469135803, 'std': 0.0006237623013831281}","{'mean': 0.9933487654320988, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8958132843755138, 'std': 0.00039695663014575183}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.75365506919598, 'std': 0.0}","{'mean': 0.768129842609483, 'std': 0.003696574259612172}","{'mean': 0.7357968824620877, 'std': 0.0}","{'mean': 0.873293196272316, 'std': 0.0}","{'mean': 0.874752601210375, 'std': 0.0011975514724894493}","{'mean': 0.8707484857262904, 'std': 1.1102230246251565e-16}","{'mean': 0.7771428571428571, 'std': 0.03140258666064934}","{'mean': 0.7022857142857142, 'std': 0.019072364878032728}","{'mean': 0.695657142857143, 'std': 0.035107485102241084}","{'mean': 0.49657142857142855, 'std': 0.023098723350180286}",63.75999999999999,2.0,1797,synthloop_30 shots,synthloop_num first
"{'mean': 0.9920293209876544, 'std': 1.1102230246251565e-16}","{'mean': 0.991829475308642, 'std': 0.0005901108252560979}","{'mean': 0.989837962962963, 'std': 0.0}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8948395169982281, 'std': 0.001567928520174453}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.8084768011440889, 'std': 0.0}","{'mean': 0.8221456495131619, 'std': 0.002290654728631147}","{'mean': 0.7971514560775808, 'std': 0.0}","{'mean': 0.8868694658221703, 'std': 0.0}","{'mean': 0.8814135265549197, 'std': 0.002142304977705365}","{'mean': 0.8818169718701314, 'std': 0.0}","{'mean': 0.6226027397260274, 'std': 0.026027397260273963}","{'mean': 0.8863013698630138, 'std': 0.02743148547191889}","{'mean': 0.6504109589041096, 'std': 0.0467173499892373}","{'mean': 0.7171232876712328, 'std': 0.02407999428937938}",84.88,19.919999999999998,1797,synthloop_30 shots,synthloop_fshots feedback
"{'mean': 0.9835262345679012, 'std': 0.0}","{'mean': 0.9831566358024691, 'std': 0.0003160134377466837}","{'mean': 0.9819984567901233, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8943533705475394, 'std': 0.0012515594978073131}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.7905678559032534, 'std': 0.0}","{'mean': 0.8042114555034487, 'std': 0.002006086504729818}","{'mean': 0.7686521202441627, 'std': 0.0}","{'mean': 0.8825582548468504, 'std': 1.1102230246251565e-16}","{'mean': 0.8755086941884771, 'std': 0.001230356008247212}","{'mean': 0.8713061768796958, 'std': 1.1102230246251565e-16}","{'mean': 0.8331428571428571, 'std': 0.044432016402957145}","{'mean': 0.8079999999999998, 'std': 0.02330980349070989}","{'mean': 0.8222857142857143, 'std': 0.04557120465686146}","{'mean': 0.7748571428571428, 'std': 0.010125740083811053}",77.84,12.0,1797,synthloop_30 shots,synthloop_sentence
"{'mean': 0.8685956790123457, 'std': 0.0}","{'mean': 0.8528726851851852, 'std': 0.00269124431674506}","{'mean': 0.8622993827160492, 'std': 0.0}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8945218261579855, 'std': 0.0014055817460526556}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.8569136609540511, 'std': 0.0}","{'mean': 0.8720443934684632, 'std': 0.0005372024368265469}","{'mean': 0.8511313666695374, 'std': 0.0}","{'mean': 0.8905064629019253, 'std': 1.1102230246251565e-16}","{'mean': 0.8860018476618465, 'std': 0.0010081101112371714}","{'mean': 0.8865307930592635, 'std': 0.0}","{'mean': 0.9394285714285713, 'std': 0.0033319725113401624}","{'mean': 0.8565714285714285, 'std': 0.023518989288293327}","{'mean': 1.2452571428571428, 'std': 0.09880156984624096}","{'mean': 0.8085714285714285, 'std': 0.032726448144631645}",0.0,3.16,1797,synthloop_30 shots,promptrefine_baseline
"{'mean': 0.9639506172839505, 'std': 1.1102230246251565e-16}","{'mean': 0.9645540123456791, 'std': 0.0002081703752246548}","{'mean': 0.9635802469135802, 'std': 0.0}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.8947974226683055, 'std': 0.0008926353467470694}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.7807056998280213, 'std': 0.0}","{'mean': 0.8101088893934293, 'std': 0.0030999664761927354}","{'mean': 0.7865484737217077, 'std': 0.0}","{'mean': 0.8842150829751532, 'std': 0.0}","{'mean': 0.8841169585607027, 'std': 0.00045353874227817623}","{'mean': 0.879948432488576, 'std': 1.1102230246251565e-16}","{'mean': 0.8382857142857143, 'std': 0.03607701512609053}","{'mean': 0.8474285714285713, 'std': 0.031015466845970084}","{'mean': 0.8062857142857143, 'std': 0.03973298634738689}","{'mean': 0.632, 'std': 0.026397278771316816}",0.0,0.08,1797,synthloop_30 shots,promptrefine_temp. 0.9
"{'mean': 0.9572222222222223, 'std': 1.1102230246251565e-16}","{'mean': 0.9494336419753087, 'std': 0.00123379219457471}","{'mean': 0.9532793209876542, 'std': 1.1102230246251565e-16}","{'mean': 0.9047652973613406, 'std': 0.0}","{'mean': 0.894397095934883, 'std': 0.000925452793015985}","{'mean': 0.9017568445693618, 'std': 0.0}","{'mean': 0.7947378825482075, 'std': 0.0}","{'mean': 0.8198731820233984, 'std': 0.0021502757400141703}","{'mean': 0.7830647960395316, 'std': 0.0}","{'mean': 0.8731075166955037, 'std': 0.0}","{'mean': 0.8707876572013143, 'std': 0.001055523534216981}","{'mean': 0.8668565217504767, 'std': 1.1102230246251565e-16}","{'mean': 0.962857142857143, 'std': 0.008852533362759787}","{'mean': 0.6542857142857142, 'std': 0.04179639668093654}","{'mean': 1.2010285714285716, 'std': 0.10359002394644239}","{'mean': 0.6828571428571428, 'std': 0.019877173863915524}",0.0,7.76,1797,synthloop_30 shots,promptrefine_30 shots
