detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9674817898022893, 'std': 0.0}","{'mean': 0.9672476586888659, 'std': 0.0029240652344065927}","{'mean': 0.9654006243496358, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9705882352941178, 'std': 0.007369841736686307}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9562594268476621, 'std': 0.0}","{'mean': 0.9559577677224735, 'std': 0.005533615785171683}","{'mean': 0.9392911010558069, 'std': 0.0}","{'mean': 0.9819004524886876, 'std': 1.1102230246251565e-16}","{'mean': 0.9674208144796381, 'std': 0.007105017021607176}","{'mean': 0.9788838612368023, 'std': 1.1102230246251565e-16}","{'mean': 0.6843137254901961, 'std': 0.02731056524938061}","{'mean': 0.7764705882352942, 'std': 0.05439385169036126}","{'mean': 0.49673202614379086, 'std': 0.026802167595010307}","{'mean': 0.37058823529411766, 'std': 0.05247515375599752}",43.2,0.44,306,real,synthloop_baseline
"{'mean': 0.9856919875130072, 'std': 0.0}","{'mean': 0.9784079084287199, 'std': 0.0006529604785645982}","{'mean': 0.9810093652445369, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9755656108597286, 'std': 0.006884671517965202}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9660633484162897, 'std': 0.0}","{'mean': 0.9544494720965309, 'std': 0.009459671361743026}","{'mean': 0.9328808446455505, 'std': 0.0}","{'mean': 0.9713423831070889, 'std': 1.1102230246251565e-16}","{'mean': 0.9707390648567118, 'std': 0.0016453562767172966}","{'mean': 0.9668174962292608, 'std': 1.1102230246251565e-16}","{'mean': 0.5888888888888889, 'std': 0.014818018364385158}","{'mean': 0.807843137254902, 'std': 0.011581728854032214}","{'mean': 0.27176470588235296, 'std': 0.011962034293054489}","{'mean': 0.24183006535947715, 'std': 0.01490425392286454}",46.08,0.96,306,real,synthloop_temp. 0.9
"{'mean': 0.9932362122788764, 'std': 1.1102230246251565e-16}","{'mean': 0.9959417273673257, 'std': 0.0005419528266389361}","{'mean': 0.9919354838709677, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9647812971342382, 'std': 0.0020872326550676395}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.952865761689291, 'std': 1.1102230246251565e-16}","{'mean': 0.91236802413273, 'std': 0.016030919191130043}","{'mean': 0.9211915535444948, 'std': 0.0}","{'mean': 0.9653092006033182, 'std': 1.1102230246251565e-16}","{'mean': 0.9700603318250376, 'std': 0.0034195426994734737}","{'mean': 0.9630467571644041, 'std': 1.1102230246251565e-16}","{'mean': 0.6607843137254902, 'std': 0.014229765396782515}","{'mean': 0.5862745098039216, 'std': 0.05586610626498851}","{'mean': 0.4343790849673203, 'std': 0.030268142511699455}","{'mean': 0.2477124183006536, 'std': 0.022009749333964358}",51.12,0.32,306,real,synthloop_30 shots
"{'mean': 0.9953173777315296, 'std': 0.0}","{'mean': 0.989516129032258, 'std': 0.0016424239456466789}","{'mean': 0.9901144640998961, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9733031674208146, 'std': 0.006275307409567051}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8834841628959277, 'std': 0.0}","{'mean': 0.9290346907993967, 'std': 0.013156367434522745}","{'mean': 0.9174208144796381, 'std': 0.0}","{'mean': 0.9675716440422322, 'std': 1.1102230246251565e-16}","{'mean': 0.9604072398190044, 'std': 0.004899059357137755}","{'mean': 0.9713423831070889, 'std': 1.1102230246251565e-16}","{'mean': 0.45816993464052286, 'std': 0.022009749333964358}","{'mean': 0.5326797385620915, 'std': 0.05753861719496407}","{'mean': 0.18444444444444447, 'std': 0.016139424140183687}","{'mean': 0.21372549019607842, 'std': 0.01878445472313714}",23.599999999999998,1.04,306,real,synthloop_cat first
"{'mean': 0.9807492195629551, 'std': 0.0}","{'mean': 0.983194588969823, 'std': 0.0019664673453656835}","{'mean': 0.9815296566077002, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9764705882352942, 'std': 0.005825029115332626}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9766214177978882, 'std': 1.1102230246251565e-16}","{'mean': 0.962292609351433, 'std': 0.007408326811609572}","{'mean': 0.9739819004524886, 'std': 1.1102230246251565e-16}","{'mean': 0.9766214177978882, 'std': 1.1102230246251565e-16}","{'mean': 0.9656108597285069, 'std': 0.003796293498839524}","{'mean': 0.951734539969834, 'std': 1.1102230246251565e-16}","{'mean': 0.7993464052287582, 'std': 0.018089349677252335}","{'mean': 0.6620915032679738, 'std': 0.0469770531400429}","{'mean': 0.47424836601307196, 'std': 0.009761126641879444}","{'mean': 0.3477124183006536, 'std': 0.019889051051899278}",66.52,0.5599999999999999,306,real,synthloop_num first
"{'mean': 0.9784079084287202, 'std': 0.0}","{'mean': 0.9737513007284081, 'std': 0.001950919173699491}","{'mean': 0.9698231009365245, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9699849170437407, 'std': 0.005636466648885301}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9875565610859727, 'std': 1.1102230246251565e-16}","{'mean': 0.981447963800905, 'std': 0.0028756675663555954}","{'mean': 0.9796380090497738, 'std': 0.0}","{'mean': 0.9788838612368025, 'std': 0.0}","{'mean': 0.9717948717948717, 'std': 0.00526501046024342}","{'mean': 0.980392156862745, 'std': 1.1102230246251565e-16}","{'mean': 0.8183006535947712, 'std': 0.019233907149754464}","{'mean': 0.673202614379085, 'std': 0.03364585013394444}","{'mean': 0.5048366013071895, 'std': 0.013186426366450734}","{'mean': 0.3790849673202615, 'std': 0.01882988273318685}",57.64,0.8,306,real,synthloop_fshots feedback
"{'mean': 0.9549947970863684, 'std': 0.0}","{'mean': 0.9682362122788761, 'std': 0.003684897234053223}","{'mean': 0.941207075962539, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9669683257918553, 'std': 0.005514053215816269}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9543740573152337, 'std': 1.1102230246251565e-16}","{'mean': 0.9685520361990949, 'std': 0.003966272637195972}","{'mean': 0.9502262443438914, 'std': 1.1102230246251565e-16}","{'mean': 0.9766214177978882, 'std': 1.1102230246251565e-16}","{'mean': 0.9660633484162897, 'std': 0.00627349452280099}","{'mean': 0.9705882352941175, 'std': 1.1102230246251565e-16}","{'mean': 0.8215686274509804, 'std': 0.008913844246396003}","{'mean': 0.8091503267973856, 'std': 0.017243014324539754}","{'mean': 0.7172549019607845, 'std': 0.02455151135495458}","{'mean': 0.7516339869281046, 'std': 0.014760248092334947}",71.08,16.64,306,real,synthloop_sentence
"{'mean': 0.8465140478668054, 'std': 0.0}","{'mean': 0.8403225806451612, 'std': 0.006494582660100372}","{'mean': 0.8709677419354838, 'std': 1.1102230246251565e-16}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9690799396681751, 'std': 0.003464158092867522}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9879336349924583, 'std': 1.1102230246251565e-16}","{'mean': 0.9827300150829561, 'std': 0.0023415044790738786}","{'mean': 0.9834087481146303, 'std': 1.1102230246251565e-16}","{'mean': 0.9653092006033182, 'std': 1.1102230246251565e-16}","{'mean': 0.9748868778280544, 'std': 0.005565386041476684}","{'mean': 0.9683257918552035, 'std': 1.1102230246251565e-16}","{'mean': 0.9294117647058824, 'std': 0.01844017775119725}","{'mean': 0.8477124183006536, 'std': 0.01699346405228759}","{'mean': 0.7874509803921569, 'std': 0.040063600170353396}","{'mean': 0.7444444444444445, 'std': 0.04468409054937831}",28.360000000000003,7.08,306,real,promptrefine_baseline
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 4.965068306494546e-17}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.9686274509803923, 'std': 0.0045835811158439045}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.8518099547511312, 'std': 0.0}","{'mean': 0.9214177978883862, 'std': 0.00613878172698907}","{'mean': 0.8582202111613878, 'std': 1.1102230246251565e-16}","{'mean': 0.9766214177978882, 'std': 1.1102230246251565e-16}","{'mean': 0.9674962292609353, 'std': 0.0044193319227703335}","{'mean': 0.9909502262443439, 'std': 0.0}","{'mean': 0.5764705882352941, 'std': 0.13898074624838705}","{'mean': 0.06666666666666667, 'std': 0.023529411764705882}","{'mean': 0.156078431372549, 'std': 0.03275390277305271}","{'mean': 0.1215686274509804, 'std': 0.007843137254901966}",97.92,0.24,306,real,promptrefine_temp. 0.9
"{'mean': 0.9807492195629554, 'std': 0.0}","{'mean': 0.9847294484911551, 'std': 0.00040802255830799106}","{'mean': 0.9817898022892819, 'std': 0.0}","{'mean': 0.9736048265460029, 'std': 1.1102230246251565e-16}","{'mean': 0.971870286576169, 'std': 0.006490054290784354}","{'mean': 0.9690799396681749, 'std': 1.1102230246251565e-16}","{'mean': 0.9079939668174962, 'std': 0.0}","{'mean': 0.9730769230769232, 'std': 0.004079375063740095}","{'mean': 0.9223227752639518, 'std': 0.0}","{'mean': 0.9834087481146305, 'std': 0.0}","{'mean': 0.9715686274509805, 'std': 0.007936845922728754}","{'mean': 0.982654600301659, 'std': 1.1102230246251565e-16}","{'mean': 0.781045751633987, 'std': 0.017899429983828992}","{'mean': 0.6777777777777777, 'std': 0.027929229567609785}","{'mean': 0.6126797385620916, 'std': 0.02707365953673121}","{'mean': 0.3189542483660131, 'std': 0.02868380164378}",77.88000000000001,0.5599999999999999,306,real,promptrefine_30 shots
