detection-LGB-roc_auc,detection-RF-roc_auc,detection-XGB-roc_auc,utility-LGB-roc_auc-trtr,utility-RF-roc_auc-trtr,utility-XGB-roc_auc-trtr,utility-LGB-roc_auc-tstr,utility-RF-roc_auc-tstr,utility-XGB-roc_auc-tstr,utility-LGB-roc_auc-combined,utility-RF-roc_auc-combined,utility-XGB-roc_auc-combined,precision,recall,density,coverage,Duplicates,Collisions,Data size,Limit model,model_name
"{'mean': 0.9974796018625314, 'std': 1.1102230246251565e-16}","{'mean': 0.9962877525737964, 'std': 6.672860588579365e-05}","{'mean': 0.9962407621000471, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9753807947019867, 'std': 0.0018343892694654346}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5562913907284769, 'std': 0.0}","{'mean': 0.6099006622516556, 'std': 0.01862679173370381}","{'mean': 0.5562086092715232, 'std': 0.0}","{'mean': 0.95, 'std': 0.0}","{'mean': 0.931771523178808, 'std': 0.003014154582178895}","{'mean': 0.9625827814569536, 'std': 0.0}","{'mean': 0.9103448275862069, 'std': 0.08333135154203154}","{'mean': 0.993103448275862, 'std': 0.013793103448275846}","{'mean': 0.5572413793103448, 'std': 0.08280458493684763}","{'mean': 0.7586206896551724, 'std': 0.0844651635442475}",97.88,22.0,763,real,synthloop_baseline
"{'mean': 0.9930795847750865, 'std': 1.1102230246251565e-16}","{'mean': 0.9994660173437566, 'std': 0.0001193065918558892}","{'mean': 0.9958135759750524, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9755629139072848, 'std': 0.0014032860993653667}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.580298013245033, 'std': 0.0}","{'mean': 0.46031456953642386, 'std': 0.013417605068862203}","{'mean': 0.5753311258278146, 'std': 0.0}","{'mean': 0.9518211920529801, 'std': 0.0}","{'mean': 0.9397185430463576, 'std': 0.001060636912453445}","{'mean': 0.9490066225165563, 'std': 0.0}","{'mean': 0.6909090909090909, 'std': 0.033634998607300876}","{'mean': 0.5781818181818182, 'std': 0.01939393939393939}","{'mean': 0.38133333333333336, 'std': 0.04166312932643072}","{'mean': 0.38909090909090904, 'std': 0.03076018797684732}",92.88,0.84,763,real,synthloop_temp. 0.9
"{'mean': 0.9952582340125593, 'std': 0.0}","{'mean': 0.9969029005937887, 'std': 0.0014928306258774444}","{'mean': 0.9953009526250588, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9760927152317882, 'std': 0.0006505590299466506}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.33692052980132453, 'std': 0.0}","{'mean': 0.43710264900662255, 'std': 0.017340642607978216}","{'mean': 0.394453642384106, 'std': 0.0}","{'mean': 0.9624172185430464, 'std': 0.0}","{'mean': 0.9433774834437086, 'std': 0.002780274109891809}","{'mean': 0.9536423841059601, 'std': 1.1102230246251565e-16}","{'mean': 0.769811320754717, 'std': 0.06334429339378202}","{'mean': 0.8842767295597487, 'std': 0.021272370472060074}","{'mean': 0.3979874213836479, 'std': 0.07093090572055011}","{'mean': 0.34716981132075475, 'std': 0.028238923673765612}",92.72,15.920000000000002,763,real,synthloop_30 shots
"{'mean': 0.9964116365500448, 'std': 0.0}","{'mean': 0.9943440557050709, 'std': 0.0002844559240392572}","{'mean': 0.9964970737750438, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9757119205298015, 'std': 0.0013976099066494013}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.4191225165562914, 'std': 0.0}","{'mean': 0.48048013245033105, 'std': 0.025717916555652642}","{'mean': 0.5093543046357616, 'std': 0.0}","{'mean': 0.9223509933774835, 'std': 0.0}","{'mean': 0.9169039735099338, 'std': 0.0023375466584668815}","{'mean': 0.9236754966887417, 'std': 0.0}","{'mean': 0.85, 'std': 0.1195762074484515}","{'mean': 0.9142857142857143, 'std': 0.012111303541295122}","{'mean': 0.4875, 'std': 0.07459926957020532}","{'mean': 0.5625, 'std': 0.04922874554317938}",94.28,14.48,763,real,synthloop_cat first
"{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 1.0, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9755629139072848, 'std': 0.001709712668003393}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.3375, 'std': 0.0}","{'mean': 0.40978476821192045, 'std': 0.033786738260664306}","{'mean': 0.4355132450331126, 'std': 0.0}","{'mean': 0.9485099337748346, 'std': 0.0}","{'mean': 0.9368708609271523, 'std': 0.0014562008892249267}","{'mean': 0.9496688741721855, 'std': 0.0}","{'mean': 0.7015384615384616, 'std': 0.10139850494328666}","{'mean': 0.8569230769230769, 'std': 0.02098181799536287}","{'mean': 0.33169230769230773, 'std': 0.08298342316818497}","{'mean': 0.3769230769230769, 'std': 0.05148677086363542}",94.48,1.4000000000000001,763,real,synthloop_num first
"{'mean': 0.9993592208125082, 'std': 1.1102230246251565e-16}","{'mean': 0.996155324875048, 'std': 0.0011306318311646209}","{'mean': 0.9951300781750609, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9772847682119206, 'std': 0.0014562008892248595}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.5696192052980132, 'std': 0.0}","{'mean': 0.631705298013245, 'std': 0.017724126627500968}","{'mean': 0.49254966887417223, 'std': 5.551115123125783e-17}","{'mean': 0.9501655629139073, 'std': 0.0}","{'mean': 0.9441059602649007, 'std': 0.002001463216339357}","{'mean': 0.9490066225165561, 'std': 1.1102230246251565e-16}","{'mean': 0.43954372623574145, 'std': 0.034228980790652154}","{'mean': 0.9901140684410648, 'std': 0.003041825095057016}","{'mean': 0.26950570342205327, 'std': 0.02204326508747893}","{'mean': 0.314828897338403, 'std': 0.020319983598307827}",88.48,5.2,763,real,synthloop_fshots feedback
"{'mean': 0.9963261993250458, 'std': 0.0}","{'mean': 0.9978213507625272, 'std': 0.0004733869939662329}","{'mean': 0.9925669614250928, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9753973509933773, 'std': 0.0007448491310729907}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.389817880794702, 'std': 0.0}","{'mean': 0.48319536423841064, 'std': 0.015120798476104851}","{'mean': 0.3427980132450332, 'std': 0.0}","{'mean': 0.8779801324503312, 'std': 0.0}","{'mean': 0.8730298013245033, 'std': 0.005372867313726774}","{'mean': 0.880960264900662, 'std': 1.1102230246251565e-16}","{'mean': 0.5805714285714286, 'std': 0.019072364878032728}","{'mean': 0.9782857142857143, 'std': 0.004981598792617919}","{'mean': 0.32582857142857147, 'std': 0.028702328711611335}","{'mean': 0.35657142857142854, 'std': 0.038688710582424596}",81.04,3.04,763,real,synthloop_sentence
"{'mean': 0.9965825110000427, 'std': 0.0}","{'mean': 0.9961425092912982, 'std': 0.0011464676024883064}","{'mean': 0.9927378358750907, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9773675496688743, 'std': 0.0012059982683095905}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.39966887417218544, 'std': 0.0}","{'mean': 0.40841059602649005, 'std': 0.007539495876400524}","{'mean': 0.4725165562913908, 'std': 0.0}","{'mean': 0.954139072847682, 'std': 1.1102230246251565e-16}","{'mean': 0.9361258278145697, 'std': 0.001670955550601338}","{'mean': 0.9455298013245033, 'std': 0.0}","{'mean': 0.7251748251748251, 'std': 0.04714967225465056}","{'mean': 0.6755244755244755, 'std': 0.02043585901566778}","{'mean': 0.4405594405594406, 'std': 0.031192260463410674}","{'mean': 0.22937062937062938, 'std': 0.015095827374071965}",86.76,2.52,763,real,promptrefine_baseline
"{'mean': 0.9991029091375113, 'std': 0.0}","{'mean': 0.9981118373275235, 'std': 0.0015411061399625014}","{'mean': 0.9963261993250458, 'std': 1.1102230246251565e-16}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9755298013245033, 'std': 0.0006918073647607723}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.6174668874172186, 'std': 0.0}","{'mean': 0.470364238410596, 'std': 0.022269658241024025}","{'mean': 0.7545529801324504, 'std': 0.0}","{'mean': 0.9478476821192052, 'std': 0.0}","{'mean': 0.9236754966887416, 'std': 0.003104028685306753}","{'mean': 0.9481788079470199, 'std': 0.0}","{'mean': 0.4662857142857143, 'std': 0.04558553297183802}","{'mean': 0.34628571428571425, 'std': 0.007959079015533787}","{'mean': 0.2064, 'std': 0.05781479226012693}","{'mean': 0.12742857142857145, 'std': 0.0175754931419768}",78.64,6.5600000000000005,763,real,promptrefine_temp. 0.9
"{'mean': 0.9958990132000514, 'std': 0.0}","{'mean': 0.9937758981588278, 'std': 0.0007798457925153661}","{'mean': 0.9949164851125636, 'std': 0.0}","{'mean': 0.9799668874172186, 'std': 0.0}","{'mean': 0.9766059602649007, 'std': 0.000467110462902843}","{'mean': 0.979635761589404, 'std': 0.0}","{'mean': 0.4798841059602649, 'std': 0.0}","{'mean': 0.47160596026490065, 'std': 0.018518269279072273}","{'mean': 0.46357615894039733, 'std': 0.0}","{'mean': 0.9408940397350992, 'std': 1.1102230246251565e-16}","{'mean': 0.9271854304635762, 'std': 0.0027288264098039292}","{'mean': 0.9471854304635761, 'std': 0.0}","{'mean': 0.6828220858895705, 'std': 0.04208606843225153}","{'mean': 0.9957055214723927, 'std': 0.004160938639954171}","{'mean': 0.42822085889570555, 'std': 0.03846386035719084}","{'mean': 0.48650306748466254, 'std': 0.025635070448805124}",84.32,11.200000000000001,763,real,promptrefine_30 shots
